ID,Season.episode,Episode,UserRating,UserVotes,amazon.affiliates.V1,amazon.affiliates.V2,amazon.affiliates.V3,amazon.affiliates.V4,amazon.affiliates.V5,amazon.affiliates.V6,amazon.affiliates.V7,amazon.affiliates.V8
1,1.1,Pilot,9,14914,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
2,1.2,Cat's in the Bag...,8.7,10271,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
3,1.3,...And the Bag's in the River,8.7,9923,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
4,1.4,Cancer Man,8.3,9379,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
5,1.5,Gray Matter,8.4,9184,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
6,1.6,Crazy Handful of Nothin',9.2,10720,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
7,1.7,A No-Rough-Stuff-Type Deal,8.8,9421,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
8,2.1,Seven Thirty-Seven,8.7,8505,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
9,2.2,Grilled,9.2,9985,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
10,2.3,Bit by a Dead Bee,8.4,8141,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
